材料ID,品牌,车系,分析对象名称,车型价格范围,能源形式,车身形式,级别,座位数,来源类型,来源平台,地区,时间,年龄段,职业,家庭结构,是否已购,购车阶段,决策周期,主要决策人,决策影响人,用户原文,数据性质,拟定依据,参考来源标题,参考来源平台,参考来源URL
UM0029,北京奔驰,奔驰E级,奔驰E级,37.88-59.98万,常规混合动力,轿车,中大型,5座,问卷回答,销售反馈模拟,江苏,2026-04,30-35岁,公务员/事业单位,已婚二孩,流失,试驾体验,1周内,公司/家庭共同使用者,朋友/同事,选车时把奔驰E级和奥迪A6L放在一起比较，主要看价格、配置、能源形式和品牌可信度。它的优势在后排空间，不足可能是配置差异，需要试驾后再判断。,公开网页问卷回答风格改写,奔驰E级公开点评总结强调后排空间、豪华内饰和科技感；配置差异和座椅/细节也有反馈。,奔驰E级 太平洋汽车车主点评,太平洋汽车,https://price.pcauto.com.cn/comment/sg1603/m112715/
UM0030,一汽丰田,RAV4荣放,RAV4荣放,16.98-22.88万,传统燃料/常规混合动力,SUV,紧凑型,5座,用户评论,车质网,浙江,2026-05,25-30岁,设计/传媒从业者,商务+家庭兼用,意向中,对比评估,2周左右,本人,孩子,关注RAV4荣放主要是因为通过性和家庭出行适配，价格在16.98-22.88万这个区间内比较有吸引力。对比大众同级车型时，我会重点看空间、配置和长期用车成本。,公开网页用户评论风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0031,一汽丰田,RAV4荣放,RAV4荣放,16.98-22.88万,传统燃料/常规混合动力,SUV,紧凑型,5座,访谈记录,公开网页评论整理,湖南,2026-04,35-40岁,个体经营者,已婚未育,已购,价格谈判,1周内,公司/家庭共同使用者,销售顾问,我对RAV4荣放的第一印象是实用，SUV车身能满足日常通勤和家庭使用。顾虑是后备厢满载空间，如果销售能把真实续航、保养或售后讲清楚，会更容易推动决策。,公开网页访谈记录风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0032,一汽丰田,RAV4荣放,RAV4荣放,16.98-22.88万,传统燃料/常规混合动力,SUV,紧凑型,5座,问卷回答,公开问卷语料模拟,北京,2026-08,45-50岁,制造业管理岗,已婚二孩,意向中,流失反馈,2个月以上,家庭共同决策,配偶,选车时把RAV4荣放和比亚迪唐放在一起比较，主要看价格、配置、能源形式和品牌可信度。它的优势在家庭出行适配，不足可能是油耗/电耗，需要试驾后再判断。,公开网页问卷回答风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0033,零跑,零跑A10,零跑A10,6.58-8.68万,纯电动,SUV,小型,5座,用户评论,车质网,江苏,2026-04,40-45岁,互联网产品/运营,已婚一孩,未购,已购复盘,1周内,公司/家庭共同使用者,无明显影响人,关注零跑A10主要是因为通过性和家庭出行适配，价格在6.58-8.68万这个区间内比较有吸引力。对比新能源替代车型时，我会重点看空间、配置和长期用车成本。,公开网页用户评论风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0034,零跑,零跑A10,零跑A10,6.58-8.68万,纯电动,SUV,小型,5座,访谈记录,销售反馈模拟,山东,2026-08,50岁以上,金融/咨询从业者,三代同住,流失,初步了解,2个月以上,家庭共同决策,父母,我对零跑A10的第一印象是实用，SUV车身能满足日常通勤和家庭使用。顾虑是后备厢满载空间，如果销售能把真实续航、保养或售后讲清楚，会更容易推动决策。,公开网页访谈记录风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0035,零跑,零跑A10,零跑A10,6.58-8.68万,纯电动,SUV,小型,5座,问卷回答,公开论坛/社区讨论,上海,2026-07,30-35岁,企业职员,未婚/两人家庭,未购,试驾体验,1-2个月,本人+父母,朋友/同事,选车时把零跑A10和同级别车型放在一起比较，主要看价格、配置、能源形式和品牌可信度。它的优势在家庭出行适配，不足可能是油耗/电耗，需要试驾后再判断。,公开网页问卷回答风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
UM0036,华晨宝马,宝马3系,宝马3系,25.80-33.80万,传统燃料,轿车,中型,5座,用户评论,汽车之家,北京,2026-08,25-30岁,企业中层管理,已婚一孩,已购,对比评估,2个月以上,家庭共同决策,孩子,看宝马3系主要是冲着操控和品牌去的，转向、动力响应和底盘质感仍然是优势。我也试了奥迪A4L，但宝马开起来更有参与感，只是配置性价比会影响家里人的接受度。,公开网页用户评论风格改写,宝马X3公开口碑整理强调2.0T动力、8AT配合、底盘运动和转向手感，也涉及内饰材料/配置复杂度等权衡。,宝马X3 汽车之家问答/口碑整理,汽车之家,https://www.autohome.com.cn/ask/17012537.html
UM0037,华晨宝马,宝马3系,宝马3系,25.80-33.80万,传统燃料,轿车,中型,5座,访谈记录,公开问卷语料模拟,河南,2026-07,35-40岁,金融/咨询从业者,商务+家庭兼用,意向中,价格谈判,1-2个月,本人+父母,销售顾问,宝马3系适合自己开，动力响应和变速箱匹配比较明显。家里人更关注后排和舒适，我会担心悬挂、配置和用车成本，尤其和奔驰C级放在一起比时性价比没有那么突出。,公开网页访谈记录风格改写,宝马X3公开口碑整理强调2.0T动力、8AT配合、底盘运动和转向手感，也涉及内饰材料/配置复杂度等权衡。,宝马X3 汽车之家问答/口碑整理,汽车之家,https://www.autohome.com.cn/ask/17012537.html
UM0038,华晨宝马,宝马3系,宝马3系,25.80-33.80万,传统燃料,轿车,中型,5座,问卷回答,公开网页评论整理,广东,2026-06,45-50岁,企业中层管理,已婚二孩,已购,流失反馈,1个月内,本人+配偶,配偶,如果预算到这个价位，我希望车既要有品牌，也要有智能化体验。宝马3系的传统机械素质没问题，但在座舱科技和配置完整度上，需要销售解释清楚它的价值。,公开网页问卷回答风格改写,宝马X3公开口碑整理强调2.0T动力、8AT配合、底盘运动和转向手感，也涉及内饰材料/配置复杂度等权衡。,宝马X3 汽车之家问答/口碑整理,汽车之家,https://www.autohome.com.cn/ask/17012537.html
UM0039,华晨宝马,宝马3系,宝马3系,25.80-33.80万,传统燃料,轿车,中型,5座,销售反馈,公开问卷语料模拟,浙江,2026-05,25-30岁,金融/咨询从业者,已婚一孩,意向中,对比评估,2周左右,本人,孩子,我对宝马3系的选择理由是驾驶质感和品牌认可，但如果主要是家庭用车，我会认真比较Model 3的空间和舒适配置。销售最好先判断我是自己开多还是全家坐多。,公开网页销售反馈风格改写,宝马X3公开口碑整理强调2.0T动力、8AT配合、底盘运动和转向手感，也涉及内饰材料/配置复杂度等权衡。,宝马X3 汽车之家问答/口碑整理,汽车之家,https://www.autohome.com.cn/ask/17012537.html
UM0040,华晨宝马,宝马3系,宝马3系,25.80-33.80万,传统燃料,轿车,中型,5座,用户评论,汽车之家,湖南,2026-04,35-40岁,企业中层管理,商务+家庭兼用,已购,价格谈判,1周内,公司/家庭共同使用者,销售顾问,宝马3系给我的感觉是产品性格很鲜明，适合重视驾驶的人。顾虑是智能化不足和后排舒适，如果后期优惠到位、保养方案清楚，我会更愿意下定。,公开网页用户评论风格改写,宝马X3公开口碑整理强调2.0T动力、8AT配合、底盘运动和转向手感，也涉及内饰材料/配置复杂度等权衡。,宝马X3 汽车之家问答/口碑整理,汽车之家,https://www.autohome.com.cn/ask/17012537.html
UM0041,理想,理想L6,理想L6,24.98万,增程式插混,SUV,中大型,5座,用户评论,懂车帝,山东,2026-08,25-30岁,企业职员,恋爱/情侣同住,未购,初步了解,1个月内,本人,配偶,这是我们的第一辆车，平时主要城市通勤，也会周末两个人短途出游。理想L6的五座空间、车机和增程方案比较均衡，但我会重点比较落地价格和首购权益。,Demo用户评论样本,基于理想L6年轻首购、城市通勤与准家庭画像拟定，仅用于产品Demo。,理想L6用户材料演示样本,Demo,
UM0042,理想,理想L6,理想L6,24.98万,增程式插混,SUV,中大型,5座,访谈记录,销售反馈模拟,上海,2026-07,30-35岁,专业人士,已婚无孩,未购,对比评估,2周左右,本人+配偶,配偶,我们准备这两年要孩子，所以想提前换一辆空间更宽松的SUV。理想L6比Model Y坐起来更舒适，长途又没有补能焦虑，但智能驾驶体验和价格权益还需要再比较。,Demo访谈记录,基于理想L6准家庭、空间预备与竞品比较画像拟定，仅用于产品Demo。,理想L6用户材料演示样本,Demo,
UM0043,理想,理想L6,理想L6,24.98万,增程式插混,SUV,中大型,5座,问卷回答,公开论坛/社区讨论,四川,2026-06,25-30岁,互联网/科技从业者,恋爱/情侣同住,未购,试驾体验,1-2个月,本人,配偶,首购预算比较敏感，我关注理想L6主要是车机、辅助驾驶和城市通勤体验。对比小米YU7时，L6的空间和增程便利更稳妥，但科技感和最终成交价会影响选择。,Demo问卷回答,基于理想L6年轻首购、智能体验与价格敏感画像拟定，仅用于产品Demo。,理想L6用户材料演示样本,Demo,
UM0044,理想,理想L6,理想L6,24.98万,增程式插混,SUV,中大型,5座,销售反馈,销售反馈模拟,湖北,2026-05,30-35岁,企业职员,已婚无孩,未购,对比评估,1个月内,本人+配偶,配偶,销售如果能把通勤能耗、周末出行成本和首购金融方案算清楚，会比只讲配置更有效。我们喜欢理想L6的五座空间和静谧性，但担心后续权益变化。,Demo销售反馈,基于理想L6首购决策、使用成本与权益顾虑画像拟定，仅用于产品Demo。,理想L6用户材料演示样本,Demo,
UM0045,理想,理想L6,理想L6,24.98万,增程式插混,SUV,中大型,5座,用户评论,懂车帝,江苏,2026-04,25-30岁,设计/传媒从业者,恋爱/情侣同住,未购,初步了解,2周左右,本人,配偶,我和伴侣都要开车，所以除了外观和智能座舱，也在意好不好上手。理想L6的空间和补能方式适合日常，但还会对比问界M7的智驾和门店服务再决定。,Demo用户评论样本,基于理想L6情侣共用、智能座舱与竞品比较画像拟定，仅用于产品Demo。,理想L6用户材料演示样本,Demo,
UM0046,小鹏,小鹏MONA L03,小鹏MONA L03,12.38-15.68万,纯电动/增程式插混,SUV,紧凑型,5座,用户评论,车质网,北京,2026-08,45-50岁,制造业管理岗,已婚二孩,意向中,流失反馈,2个月以上,家庭共同决策,配偶,关注小鹏MONA L03主要是因为通过性和家庭出行适配，价格在12.38-15.68万这个区间内比较有吸引力。对比同级别车型时，我会重点看空间、配置和长期用车成本。,公开网页用户评论风格改写,用于非重点品牌车系的公开车主口碑检索入口；具体车型后续可替换为逐车系URL。,车质网口碑通用入口,车质网,https://www.12365auto.com/review/
