样本ID,品牌,车系,分析对象名称,车型价格范围,价格段,能源形式,车身形式,级别,座位数,地区,调查时间,年龄段,性别,职业,家庭年收入区间,家庭结构,家庭成员,是否有孩,是否有老人同住/常乘坐,当前用车状态,首购/增购/换购,原有车型/品牌,购车预算,购车阶段,决策周期,主要决策人,决策影响人,购车动因,主要使用场景,信息来源,是否试驾,最关注因素,关注理由,主要顾虑,对比车型,最终倾向,是否成交,流失原因,开放题摘要,沟通触点建议,数据性质,拟定依据,参考来源标题,参考来源URL
S001-11,一汽奥迪,奥迪A6L,奥迪A6L,32.89-55.89万,40-50万,传统燃料；常规混合动力,轿车,中大型,5座,广东省,2026-08-28,36-40岁,女,企业高管/企业主,80-100万,已婚一孩,4人,是,否,家中已有燃油车,增购,家中已有燃油车,30-60万,已试驾,1-2个月,本人+配偶,子女；车主评价；KOL/博主,换新能源；通勤代步；家庭品质升级,家庭出行；周末短途,朋友/同事推荐；KOL评测；小红书/抖音内容,是,驾驶质感；静谧性；售后服务,希望在预算内获得更稳定的综合体验,后排空间是否够用；油耗是否偏高；售后维修成本,宝马5系；奔驰E级,倾向本品,待定,,受访者关注驾驶质感，主要用于家庭出行；同时对后排空间是否够用仍有疑问，决策中会对比宝马5系；奔驰E级。,先围绕家庭出行场景切入，再把驾驶质感转化为可感知体验；对后排空间是否够用需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,奥迪A6L公开车主口碑｜懂车帝,https://www.dongchedi.com/auto/series/score/99-x-S0-P107-x-x-x
S001-12,一汽奥迪,奥迪A6L,奥迪A6L,32.89-55.89万,40-50万,传统燃料；常规混合动力,轿车,中大型,5座,福建省,2026-07-06,31-35岁,女,私营业主/个体经营者,30-50万,商务/个人用车,3人,否,是,无车,首购,无车,30-60万,已试驾,2个月以上,本人,KOL/博主；销售顾问,换新能源；家庭兼商务；通勤代步,家庭出行；周末短途；商务接待,懂车帝/汽车之家口碑；KOL评测；品牌直营店/4S店,是,后排空间；保值率；通勤舒适；静谧性,希望在预算内获得更稳定的综合体验,后排地台隆起；售后维修成本；价格是否值得,宝马5系；奔驰E级；奥迪A7L,倾向本品,待定,,受访者关注后排空间，主要用于家庭出行；同时对后排地台隆起仍有疑问，决策中会对比宝马5系；奔驰E级；奥迪A7L。,先围绕家庭出行场景切入，再把后排空间转化为可感知体验；对后排地台隆起需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,奥迪A6L公开车主口碑｜懂车帝,https://www.dongchedi.com/auto/series/score/99-x-S0-P107-x-x-x
S001-13,一汽奥迪,奥迪A6L,奥迪A6L,32.89-55.89万,40-50万,传统燃料；常规混合动力,轿车,中大型,5座,广东省,2026-08-05,36-40岁,不便透露,中基层管理者,50-80万,商务/个人用车,1人,否,否,15-25万合资/自主车,换购,15-25万合资/自主车,30-60万,价格谈判,2周-1个月,本人+配偶,销售顾问；KOL/博主；车主评价,品牌升级；空间升级；家庭出行升级,城市通勤；家庭出行；商务接待,KOL评测；车主群/社群讨论；懂车帝/汽车之家口碑,是,空间舒适；静谧性；可靠性；安全性,希望兼顾家人乘坐和周末出行,价格是否值得；车机/智能化是否落后,宝马5系；奔驰E级,已下订,是,,受访者关注空间舒适，主要用于城市通勤；同时对价格是否值得仍有疑问，决策中会对比宝马5系；奔驰E级。,先围绕城市通勤场景切入，再把空间舒适转化为可感知体验；对价格是否值得需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,奥迪A6L公开车主口碑｜懂车帝,https://www.dongchedi.com/auto/series/score/99-x-S0-P107-x-x-x
S001-14,一汽奥迪,奥迪A6L,奥迪A6L,32.89-55.89万,40-50万,传统燃料；常规混合动力,轿车,中大型,5座,北京市,2026-07-10,41-45岁,女,中基层管理者,80-100万,已婚二孩及以上,1人,是,是,15-25万合资/自主车,换购,15-25万合资/自主车,30-60万,流失/转向竞品,1-2个月,企业/业务需求,配偶；KOL/博主,空间升级；家庭出行升级,周末短途；城市通勤；家庭出行,车主群/社群讨论；KOL评测；懂车帝/汽车之家口碑,否,保值率；驾驶质感；优惠力度；商务形象,希望在预算内获得更稳定的综合体验,后备厢空间；后排空间是否够用；价格是否值得,宝马5系；奔驰E级,转向竞品,否,补能/售后更方便,受访者关注保值率，主要用于周末短途；同时对后备厢空间仍有疑问，决策中会对比宝马5系；奔驰E级。,先围绕周末短途场景切入，再把保值率转化为可感知体验；对后备厢空间需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,奥迪A6L公开车主口碑｜懂车帝,https://www.dongchedi.com/auto/series/score/99-x-S0-P107-x-x-x
S001-15,一汽奥迪,奥迪A6L,奥迪A6L,32.89-55.89万,40-50万,传统燃料；常规混合动力,轿车,中大型,5座,安徽省,2026-06-27,36-40岁,不便透露,私营业主/个体经营者,80-100万,已婚一孩,3人,是,否,家中已有燃油车,增购,家中已有燃油车,30-60万,已试驾,2个月以上,本人,KOL/博主；父母,商务接待；家庭兼商务,家庭出行；城市通勤；周末短途,小红书/抖音内容；品牌直营店/4S店；懂车帝/汽车之家口碑,是,优惠力度；空间舒适；后排空间；安全性,希望兼顾家人乘坐和周末出行,配置性价比；保养维修费用；价格是否值得,宝马5系；奔驰E级；奥迪A7L,倾向本品,待定,,受访者关注优惠力度，主要用于家庭出行；同时对配置性价比仍有疑问，决策中会对比宝马5系；奔驰E级；奥迪A7L。,先围绕家庭出行场景切入，再把优惠力度转化为可感知体验；对配置性价比需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,奥迪A6L公开车主口碑｜懂车帝,https://www.dongchedi.com/auto/series/score/99-x-S0-P107-x-x-x
S001-16,一汽奥迪,奥迪A6L,奥迪A6L,32.89-55.89万,40-50万,传统燃料；常规混合动力,轿车,中大型,5座,北京市,2026-07-21,41-45岁,女,公务员/事业单位,80-100万,已婚二孩及以上,3人,是,是,15-25万合资/自主车,换购,15-25万合资/自主车,30-60万,对比评估,2周-1个月,企业/业务需求,配偶；父母；KOL/博主,品牌升级；家庭兼商务；换新能源,城市通勤；商务接待,小红书/抖音内容；KOL评测；品牌直营店/4S店,否,品牌体面感；乘坐舒适；售后服务；商务形象,在意品牌形象和商务/社交场景认可度,配置性价比；竞品是否更强,宝马5系；奔驰E级,倾向本品,待定,,受访者关注品牌体面感，主要用于城市通勤；同时对配置性价比仍有疑问，决策中会对比宝马5系；奔驰E级。,先围绕城市通勤场景切入，再把品牌体面感转化为可感知体验；对配置性价比需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,奥迪A6L公开车主口碑｜懂车帝,https://www.dongchedi.com/auto/series/score/99-x-S0-P107-x-x-x
S001-17,一汽奥迪,奥迪A6L,奥迪A6L,32.89-55.89万,40-50万,传统燃料；常规混合动力,轿车,中大型,5座,湖北省,2026-06-24,46岁以上,男,企业高管/企业主,50-80万,已婚一孩,3人,是,否,15-25万合资/自主车,换购,15-25万合资/自主车,30-60万,已购/用车复盘,1-2个月,本人+配偶,配偶；父母,通勤代步；空间升级；商务接待,商务接待；周末短途；城市通勤,朋友/同事推荐；小红书/抖音内容；懂车帝/汽车之家口碑,是,外观设计；品牌体面感；品牌认知,在意品牌形象和商务/社交场景认可度,车机/智能化是否落后；配置性价比,宝马5系；奔驰E级,继续比较,待定,,受访者关注外观设计，主要用于商务接待；同时对车机/智能化是否落后仍有疑问，决策中会对比宝马5系；奔驰E级。,先围绕商务接待场景切入，再把外观设计转化为可感知体验；对车机/智能化是否落后需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,奥迪A6L公开车主口碑｜懂车帝,https://www.dongchedi.com/auto/series/score/99-x-S0-P107-x-x-x
S001-18,一汽奥迪,奥迪A6L,奥迪A6L,32.89-55.89万,40-50万,传统燃料；常规混合动力,轿车,中大型,5座,安徽省,2026-07-27,36-40岁,男,公务员/事业单位,80-100万,商务/个人用车,2人,否,否,15-25万合资/自主车,换购,15-25万合资/自主车,30-60万,初步了解,1-2个月,本人,销售顾问；朋友/同事；KOL/博主,品牌升级；商务接待,商务接待；家庭出行,朋友/同事推荐；品牌直营店/4S店,是,乘坐舒适；后排空间；品牌认知,在意品牌形象和商务/社交场景认可度,保值率；底盘舒适性,宝马5系；奔驰E级；奥迪A7L,继续比较,待定,,受访者关注乘坐舒适，主要用于商务接待；同时对保值率仍有疑问，决策中会对比宝马5系；奔驰E级；奥迪A7L。,先围绕商务接待场景切入，再把乘坐舒适转化为可感知体验；对保值率需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,奥迪A6L公开车主口碑｜懂车帝,https://www.dongchedi.com/auto/series/score/99-x-S0-P107-x-x-x
S001-19,一汽奥迪,奥迪A6L,奥迪A6L,32.89-55.89万,40-50万,传统燃料；常规混合动力,轿车,中大型,5座,河南省,2026-07-17,36-40岁,女,金融/地产从业者,100万以上,已婚一孩,3人,是,否,15-25万合资/自主车,换购,15-25万合资/自主车,30-60万,对比评估,1-2个月,本人,车主评价；配偶；子女,商务接待；品牌升级,家庭出行；商务接待,朋友/同事推荐；KOL评测,是,静谧性；品牌体面感；空间舒适；安全性,希望兼顾家人乘坐和周末出行；在意品牌形象和商务/社交场景认可度,竞品是否更强；后备厢空间；后排地台隆起,宝马5系；奔驰E级,已下订,是,,受访者关注静谧性，主要用于家庭出行；同时对竞品是否更强仍有疑问，决策中会对比宝马5系；奔驰E级。,先围绕家庭出行场景切入，再把静谧性转化为可感知体验；对竞品是否更强需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,奥迪A6L公开车主口碑｜懂车帝,https://www.dongchedi.com/auto/series/score/99-x-S0-P107-x-x-x
S001-20,一汽奥迪,奥迪A6L,奥迪A6L,32.89-55.89万,40-50万,传统燃料；常规混合动力,轿车,中大型,5座,重庆市,2026-07-02,36-40岁,男,中基层管理者,50-80万,已婚一孩,3人,是,否,家中已有新能源车,增购,家中已有新能源车,30-60万,已购/用车复盘,1-2个月,本人+配偶,车主评价；配偶；KOL/博主,家庭兼商务；商务接待；家庭出行升级,商务接待；城市通勤；周末短途,车主群/社群讨论；品牌直营店/4S店,是,通勤舒适；驾驶质感；豪华感/质感；空间舒适,希望兼顾家人乘坐和周末出行,售后维修成本；配置性价比,宝马5系；奔驰E级,转向竞品,否,品牌认可度更高,受访者关注通勤舒适，主要用于商务接待；同时对售后维修成本仍有疑问，决策中会对比宝马5系；奔驰E级。,先围绕商务接待场景切入，再把通勤舒适转化为可感知体验；对售后维修成本需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,奥迪A6L公开车主口碑｜懂车帝,https://www.dongchedi.com/auto/series/score/99-x-S0-P107-x-x-x
S002-01,上汽通用五菱,星光L,星光L,11.28-13.58万,10-20万,常规混合动力,SUV,中大型,6座,上海市,2026-08-10,36-40岁,男,企业职员,10-20万,已婚二孩及以上,4人,是,是,无车,首购,无车,10-20万,对比评估,2个月以上,父母参与,KOL/博主；父母；子女,通勤代步；商务接待,家庭出行；长途自驾；周末短途,朋友/同事推荐；品牌直营店/4S店；KOL评测,是,保值率；售后服务；第三排/多人乘坐,希望在预算内获得更稳定的综合体验,车身尺寸是否好开；竞品是否更强,小鹏MONA L03；元UP,已下订,是,,受访者关注保值率，主要用于家庭出行；同时对车身尺寸是否好开仍有疑问，决策中会对比小鹏MONA L03；元UP。,先围绕家庭出行场景切入，再把保值率转化为可感知体验；对车身尺寸是否好开需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S002-02,上汽通用五菱,星光L,星光L,11.28-13.58万,10-20万,常规混合动力,SUV,中大型,6座,福建省,2026-08-06,26-30岁,女,公务员/事业单位,20-30万,已婚二孩及以上,1人,是,否,15-25万合资/自主车,换购,15-25万合资/自主车,10-20万,价格谈判,2周-1个月,本人+配偶,父母；车主评价,空间升级；家庭出行升级,长途自驾；周末短途,朋友/同事推荐；品牌直营店/4S店,是,价格权益；可靠性；品牌认知；售后服务,在意品牌形象和商务/社交场景认可度；希望同预算下配置和权益更划算,油耗是否偏高；竞品是否更强；价格是否值得,元UP；长安启源Q05,倾向本品,待定,,受访者关注价格权益，主要用于长途自驾；同时对油耗是否偏高仍有疑问，决策中会对比元UP；长安启源Q05。,先围绕长途自驾场景切入，再把价格权益转化为可感知体验；对油耗是否偏高需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S002-03,上汽通用五菱,星光L,星光L,11.28-13.58万,10-20万,常规混合动力,SUV,中大型,6座,湖北省,2026-06-08,31-35岁,男,互联网/科技从业者,30-50万,已婚二孩及以上,3人,是,否,15-25万合资/自主车,换购,15-25万合资/自主车,10-20万,已购/用车复盘,1-2个月,家庭共同决策,父母；配偶；子女,换新能源；通勤代步,城市通勤；长途自驾；周末短途,朋友/同事推荐；KOL评测；懂车帝/汽车之家口碑,是,可靠性；售后服务；驾驶质感；保值率,希望在预算内获得更稳定的综合体验,保值率；第三排舒适性,长安启源Q05；小鹏MONA L03；元UP,已下订,是,,受访者关注可靠性，主要用于城市通勤；同时对保值率仍有疑问，决策中会对比长安启源Q05；小鹏MONA L03；元UP。,先围绕城市通勤场景切入，再把可靠性转化为可感知体验；对保值率需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
S002-04,上汽通用五菱,星光L,星光L,11.28-13.58万,10-20万,常规混合动力,SUV,中大型,6座,湖南省,2026-07-26,31-35岁,女,企业职员,30-50万,已婚一孩,1人,是,否,无车,首购,无车,10-20万,已购/用车复盘,2周-1个月,家庭共同决策,子女；父母；车主评价,通勤代步；商务接待,城市通勤；周末短途；长途自驾,KOL评测；品牌直营店/4S店,否,保值率；价格权益；安全性,希望同预算下配置和权益更划算,保值率；售后维修成本,小鹏MONA L03；元UP,价格合适会买,待定,,受访者关注保值率，主要用于城市通勤；同时对保值率仍有疑问，决策中会对比小鹏MONA L03；元UP。,先围绕城市通勤场景切入，再把保值率转化为可感知体验；对保值率需结合竞品对比和真实用车成本解释。,公开资料方向拟定/模拟问卷样本,基于车型定位、价格段、能源形式、公开车主口碑和公开用户画像报告拟定；仅用于产品Demo，不代表真实调研结果。,2024增换购用户需求洞察｜汽车之家研究院,https://www.autohome.com.cn/news/202409/1300865.html
