品牌,车系,分析字段名称,价格下限,价格上限,价格段,能源形式,车身形式,级别,座位数
极氪,极氪8X,极氪8X,35.68 ,50.08 ,,非增程式插混,SUV,中大型,5座
蔚来,蔚来ES9,蔚来ES9,49.80 ,62.80 ,,纯电动,SUV,大型,6座
LUXEED智界,智界V9,智界V9,38.98 ,51.98 ,,增程式插混,MPV,中大型,7座
长城汽车,坦克700新能源,坦克700新能源,42.80 ,70.00 ,,非增程式插混,SUV,中大型,5座
大众,途锐,途锐,50.88 ,79.38 ,,传统燃料,SUV,中大型,6座
极氪,极氪009,极氪009（4座）,78.90 ,89.90 ,,纯电动,MPV,中大型,4座
极氪,极氪009,极氪009（6座）,46.90 ,51.90 ,,纯电动,MPV,中大型,6座
极氪,极氪009,极氪009（7座）,43.98 ,50.90 ,,纯电动,MPV,中大型,7座
奥迪（进口）,奥迪Q7,奥迪Q7（汽油5座）,60.98 ,60.98 ,,传统燃料,SUV,中大型,5座
奥迪（进口）,奥迪Q7,奥迪Q7（汽油7座）,63.68 ,63.68 ,,传统燃料,SUV,中大型,7座
奥迪（进口）,奥迪Q7,奥迪Q7（轻混7座）,70.68 ,80.48 ,,常规混合动力,SUV,中大型,7座
路虎(进口),路虎卫士,路虎卫士,68.99 ,68.99 ,,传统燃料,SUV,中大型,5座
路虎(进口),路虎卫士,路虎卫士,79.99 ,215.80 ,,常规混合动力,SUV,中大型,5座
路虎(进口),路虎卫士,路虎卫士,90.99 ,102.99 ,,常规混合动力,SUV,中大型,8座
奔驰(进口),奔驰GLE(进口),奔驰GLE(进口),69.98 ,88.98 ,,常规混合动力,SUV,中大型,5座
雷克萨斯,雷克萨斯RX,雷克萨斯RX（燃油）,38.00 ,39.80 ,,传统燃料,SUV,中大型,5座
雷克萨斯,雷克萨斯RX,雷克萨斯RX（轻混）,40.50 ,61.90 ,,常规混合动力,SUV,中大型,5座
上汽奥迪,奥迪A7L,奥迪A7L（燃油）,41.87 ,49.77 ,,传统燃料,轿车,中大型,5座
上汽奥迪,奥迪A7L,奥迪A7L（轻混）,60.47 ,66.62 ,,常规混合动力,轿车,中大型,5座
路虎(进口),发现,发现（燃油）,65.88 ,65.88 ,,传统燃料,SUV,中大型,7座
路虎(进口),发现,发现（轻混）,71.88 ,83.78 ,,常规混合动力,SUV,中大型,7座
沃尔沃(进口),沃尔沃XC90,沃尔沃XC90,63.89 ,63.89 ,,常规混合动力,SUV,中大型,5座
沃尔沃(进口),沃尔沃XC90,沃尔沃XC90,69.59 ,78.19 ,,常规混合动力,SUV,中大型,6座
沃尔沃(进口),沃尔沃XC90,沃尔沃XC90,69.59 ,78.19 ,,常规混合动力,SUV,中大型,7座
保时捷,Macan,Macan,57.80 ,85.80 ,,传统燃料,SUV,中型,5座
路虎(进口),揽胜星脉,揽胜星脉（汽油）,56.80 ,68.80 ,,传统燃料,SUV,中型,5座
路虎(进口),揽胜星脉,揽胜星脉（轻混）,78.80 ,78.80 ,,常规混合动力,SUV,中型,5座
奥迪(进口),奥迪A8,奥迪A8（汽油）,79.98 ,79.98 ,,传统燃料,轿车,大型,5座
奥迪(进口),奥迪A8,奥迪A8（轻混4座）,130.00 ,207.68 ,,传统燃料,轿车,大型,4座
奥迪(进口),奥迪A8,奥迪A8（轻混5座）,88.98 ,109.80 ,,传统燃料,轿车,大型,5座
MAEXTRO尊界,尊界S800,尊界S800（纯电4座）,81.80 ,138.80 ,,纯电动,轿车,大型,4座
MAEXTRO尊界,尊界S800,尊界S800（纯电5座）,70.80 ,72.80 ,,纯电动,轿车,大型,5座
MAEXTRO尊界,尊界S800,尊界S800（增程4座）,81.80 ,138.80 ,,增程式插混,轿车,大型,4座
MAEXTRO尊界,尊界S800,尊界S800（增程5座）,70.80 ,80.80 ,,增程式插混,轿车,大型,5座
奥迪(进口),奥迪A7,奥迪A7（汽油）,58.98 ,62.68 ,,传统燃料,SUV,中大型,4座
奥迪(进口),奥迪A7,奥迪A7（轻混）,78.88 ,78.88 ,,常规混合动力,SUV,中大型,4座
雷克萨斯,雷克萨斯GX,雷克萨斯GX（5座）,80.98 ,89.98 ,,常规混合动力,SUV,中大型,5座
雷克萨斯,雷克萨斯GX,雷克萨斯GX（6座）,77.80 ,77.80 ,,常规混合动力,SUV,中大型,6座
奔驰(进口),奔驰S级,奔驰S级,89.88 ,128.83 ,,常规混合动力,轿车,大型,5座
宝马(进口),宝马7系,宝马7系,80.80 ,121.80 ,,常规混合动力,轿车,大型,5座
路虎(进口),揽胜运动,揽胜运动,89.80 ,218.00 ,,常规混合动力,SUV,中大型,5座
雷克萨斯,雷克萨斯LS,雷克萨斯LS,88.50 ,120.00 ,,常规混合动力,轿车,大型,5座
丰田(进口),埃尔法,埃尔法,89.90 ,92.90 ,,常规混合动力,MPV,中大型,7座
仰望,仰望U7,仰望U7（纯电4座）,73.70 ,88.80 ,,纯电动,轿车,大型,4座
仰望,仰望U7,仰望U7（纯电5座）,65.80 ,65.80 ,,纯电动,轿车,大型,5座
仰望,仰望U7,仰望U7（插电混动4座）,73.80 ,73.80 ,,非增程式插混,轿车,大型,4座
仰望,仰望U7,仰望U7（插电混动4座）,65.80 ,65.80 ,,非增程式插混,轿车,大型,5座
保时捷,Panamera,Panamera,99.80 ,149.80 ,,传统燃料,轿车,大型,4座
保时捷,Cayenne,Cayenne（4座）,104.80 ,250.80 ,,传统燃料,SUV,中大型,4座
保时捷,Cayenne,Cayenne（5座）,91.80 ,99.80 ,,传统燃料,SUV,中大型,5座
奔驰(进口),奔驰GLS,奔驰GLS,96.80 ,139.82 ,,常规混合动力,SUV,大型,7座
宝马(进口),宝马X7,宝马X7,92.80 ,117.80 ,,常规混合动力,SUV,大型,7座
奥迪(进口),奥迪Q8,奥迪Q8,76.68 ,78.68 ,,传统燃料,SUV,中大型,5座
奥迪(进口),奥迪Q8,奥迪Q8,87.98 ,108.48 ,,常规混合动力,SUV,中大型,5座
保时捷,Taycan,Taycan,91.80 ,156.80 ,,纯电动,轿车,中大型,4座
路虎(进口),揽胜,揽胜,333.90 ,333.90 ,,传统燃料,SUV,中大型,4座
路虎(进口),揽胜,揽胜,141.20 ,245.90 ,,常规混合动力,SUV,中大型,4座
梅赛德斯,迈巴赫S级,迈巴赫S级（燃油4座）,332.70 ,364.30 ,,传统燃料,轿车,大型,4座
梅赛德斯,迈巴赫S级,迈巴赫S级（轻混4座）,249.60 ,287.50 ,,常规混合动力,轿车,大型,4座
梅赛德斯,迈巴赫S级,迈巴赫S级（轻混5座）,121.70 ,146.80 ,,常规混合动力,轿车,大型,5座
奔驰(进口),奔驰G级,奔驰G级,186.80 ,186.80 ,,常规混合动力,SUV,中大型,5座
梅赛德斯,奔驰G级AMG,奔驰G级AMG,259.55 ,259.55 ,,常规混合动力,SUV,中大型,5座
雷克萨斯,雷克萨斯LX,雷克萨斯LX（4座）,155.00 ,155.00 ,,常规混合动力,SUV,大型,4座
雷克萨斯,雷克萨斯LX,雷克萨斯LX（7座）,125.00 ,135.00 ,,常规混合动力,SUV,大型,7座
雷克萨斯,雷克萨斯LS,雷克萨斯LS,88.50 ,120.00 ,,常规混合动力,轿车,大型,5座
